ah,O 
taxpayers',tAksp3^z 
tea,ti 
teach,tity 
teachable,tity4b4l 
teacher,tity^ 
teacher's,tity^z 
teachers,tity^z 
teachers',tity^z 
teaches,tityIz 
teaching,tityIG 
teachings,tityIGz 
teacup,tik0p 
teak,tik 
team,tim 
team's,timz 
teammate,timm3t 
teammates,timm3ts 
teams,timz 
teamwork,timw^k 
teapot,tipOt 
tear,t^ 
tearing,t^IG 
tearjerker,tirdy^k^ 
tears,t^z 
teas,tiz 
tease,tiz 
teased,tizd 
teases,tizIz 
teasing,tizIG 
teasingly,tizIGli 
teaspoon,tisp(n 
teaspoons,tisp(nz 
tech,tek 
technical,teknIk4l 
technicalities,teknIkAlItiz 
technicality,teknIkAlIti 
technically,teknIk4li 
technician,teknISIn 
technicians,teknISInz 
technique,teknik 
techniques,tekniks 
techno,tekn6 
technological,tekn4lOdyIk4l 
technologically,tekn4lOdyIkli 
technologies,teknOl4dyiz 
technologist,teknOl4dyIst 
technologists,teknOl4dyIsts 
technology,teknOl4dyi 
technology's,teknOl4dyiz 
teddy,tedi 
tedious,tidi4s 
tediously,tidi4sli 
tee,ti 
teeing,tiIG 
teen,tin 
teenage,tin3dy 
teenaged,tin3dyd 
teenager,tin3dy^ 
teenagers,tin3dy^z 
teens,tinz 
teeny,tini 
tees,tiz 
teetering,tit4rIG 
teeth,tiF 
teething,tiDIG 
telecom,t74kOm 
telecommunication,t74k4my(nIk3SIn 
telecommunications,t74k4my(nIk3SInz 
teleconferencing,t74kOnfrInsIG 
telegrams,t74grAmz 
telemarketeers,t74mOrkIt^z 
telemarketers,t74mOrkIt^z 
telemarketing,t74mOrkItIG 
telephone,t74f6n 
telephones,t74f6nz 
telescope,t74sk6p 
telethon,t74FOn 
telethons,t74FOnz 
televise,t74vYz 
televised,t74vYzd 
television,t74vIZIn 
television's,t74vIZInz 
televisions,t74vIZInz 
tell,t7 
teller,t7^ 
tellers,t7^z 
telling,t7IG 
tells,t7z 
temp,t9p 
temper,t9p^ 
temperament,t9p4r4mInt 
temperate,t9p4rIt 
temperature,t9p4r4ty^ 
temperature's,t9p4r4ty^z 
temperatures,t9p4r4ty^z 
tempered,t9p^d 
tempering,t9p4rIG 
tempers,t9p^z 
template,t9pl3t 
temples,t9p4lz 
tempo,t9p6 
temporally,t9pr4li 
temporaries,t9p4r^iz 
temporarily,t9p4r^4li 
temporary,t9p4r^i 
tempt,t9pt 
temptation,t9pt3SIn 
temptation's,t9pt3SInz 
tempted,t9ptId 
tempting,t9ptIG 
ten,t2 
ten's,t2z 
tenacious,tIn3SIs 
tenacity,tInAsIti 
tenant,t2Int 
tenants,t2Ints 
tend,t2d 
tended,t2dId 
tendencies,t2dInsiz 
tendency,t2dInsi 
tender,t2d^ 
tenderhearted,t2d^hOrtId 
tenderloin,t2d^l8n 
tending,t2dIG 
tends,t2dz 
tenement,t24mInt 
tenfold,t2f6ld 
tennis,t2Is 
tenor,t2^ 
tens,t2z 
tense,t2s 
tensing,t2sIG 
tension,t2SIn 
tensioned,t2SInd 
tensions,t2SInz 
tent,t2t 
tent's,t2ts 
tentatively,t2ItIvli 
tenth,t2F 
tenths,t2Fs 
tenting,t2tIG 
tents,t2ts 
tenuous,t2y(4s 
tenure,t2y^ 
tenured,t2y^d 
teriyaki,t^iyOki 
term,t^m 
termed,t^md 
terminal,t^mIn4l 
terminally,t^mIn4li 
terminals,t^mIn4lz 
terminate,t^mIn3t 
terminated,t^mIn3tId 
terminating,t^mIn3tIG 
termination,t^mIn3SIn 
terming,t^mIG 
terminology,t^mInOl4dyi 
termites,t^mYts 
terms,t^mz 
terrace,t^Is 
terraced,t^Ist 
terrain,t4r3n 
terrains,t4r3nz 
terrible,t^Ib4l 
terribly,t^Ibli 
terrier,t^i^ 
terriers,t^i^z 
terrific,t4rIfIk 
terrifically,t4rIfIkli 
terrified,t^IfYd 
terrifies,t^IfYz 
terrify,t^IfY 
terrifying,t^IfYIG 
territorial,t^It6ri4l 
territorialism,t^It6ri4lIz4m 
territories,t^It6riz 
territory,t^It6ri 
terror,t^^ 
terrorism,t^4rIz4m 
terrorist,t^4rIst 
terroristic,t^4rIstIk 
terrorized,t^4rYzd 
terry,t^i 
test,test 
tested,testId 
tester,test^ 
testers,test^z 
testified,testIfYd 
testify,testIfY 
testifying,testIfYIG 
testimonies,testIm6niz 
testimony,testIm6ni 
testing,testIG 
testings,testIGz 
testosterone,testOst4r6n 
tests,tests 
testy,testi 
text,tekst 
textbook,tekstbuk 
textbooks,tekstbuks 
textile,tekst4l 
texts,teksts 
textural,teksty4r4l 
texture,teksty^ 
textured,teksty^d 
textures,teksty^z 
than,DAn 
thank,FAGk 
thankful,FAGkf4l 
thankfully,FAGkf4li 
thanking,FAGkIG 
thanks,FAGks 
that,DAt 
that'd,DAtId 
that'll,DAt4l 
that's,DAts 
thatch,FAty 
thatched,FAtyt 
thatcher,FAty^ 
thatches,FAtyIz 
thaw,Fo 
thawed,Fod 
thawing,FoIG 
thaws,Foz 
the,D0 
theater,Fi4t^ 
theaters,Fi4t^z 
theatre,Fi4t^ 
theatres,Fi4t^z 
theatrics,FiAtrIks 
theft,Feft 
thefts,Fefts 
their,D3r 
their's,D3rz 
theirs,D3rz 
theirself,D3rs7f 
theirselves,D3rs7vz 
them,D9 
them's,D9z 
them's_1,9z 
them_1,9 
them_1's,9z 
theme,Fim 
themes,Fimz 
themselves,D9s7vz 
then,D2 
theological,Fi4lOdyIk4l 
theology,FiOl4dyi 
theoretical,Fi4retIk4l 
theoretically,Fi4retIkli 
theories,Fi4riz 
theorists,Fi4rIsts 
theory,Fi4ri 
therapeutic,F^4py(tIk 
therapeutically,F^4py(tIkli 
therapist,F^4pIst 
therapy,F^4pi 
there,D3r 
there'd,D3rd 
there'll,D3r4l 
there're,D3r^ 
there's,D3rz 
there've,D3r4v 
thereabouts,D3r4b5ts 
thereafter,D3rAft^ 
thereby,D3rbY 
therefore,D3rf6r 
therein,D3rIn 
thereof,D3r0v 
thermal,F^m4l 
thermostat,F^m4stAt 
thesaurus,F4s6rIs 
these,Diz 
thesis,FisIs 
they,D3 
they'd,D3d 
they'll,D3l 
they're,D3r 
they's,D3z 
they've,D3v 
thick,FIk 
thicken,FIk4n 
thickened,FIk4nd 
thickening,FIk4nIG 
thickens,FIk4nz 
thicker,FIk^ 
thickness,FIknIs 
thief,Fif 
thieves,Fivz 
thieving,FivIG 
thighs,FYz 
thin,FIn 
thing,FIG 
thing's,FIGz 
things,FIGz 
think,FIGk 
think'll,FIGk4l 
think's,FIGks 
thinking,FIGkIG 
thinkings,FIGkIGz 
thinks,FIGks 
thinner,FIn^ 
thinness,FInnIs 
third,F^d 
thirdly,t^dli 
thirds,F^dz 
thirst,F^st 
thirsty,F^sti 
thirteen,F^tin 
thirteenth,F^tinF 
thirties,F^tiz 
thirtieth,F^tiIF 
thirty,F^ti 
this,DIs 
this'd,DIsId 
this'll,DIs4l 
thistles,FIs4lz 
thorn,F6rn 
thorns,F6rnz 
thorough,F^r6 
thoroughbred,F^r4bred 
thoroughbreds,F^r4bredz 
thoroughfare,F^r4f3r 
thoroughly,F^r4li 
thoroughness,F^r4nIs 
those,D6z 
thou,F5 
though,D6 
thought,Fot 
thoughtful,Fotf4l 
thoughts,Fots 
thousand,F5zInd 
thousand's,F5ZIndz 
thousands,F5zIndz 
thousandth,F5zIndF 
thousandths,F5zIndFs 
thrash,FrAS 
thrashed,FrASt 
thread,Fred 
threads,Fredz 
threat,Fret 
threaten,Fret2 
threatened,Fret2d 
threatening,FretInIG 
threateningly,FretInIGli 
threatens,Fret2z 
threats,Frets 
three,Fri 
three-dayers,Frid3^s 
three-quarter,Frikw6rt^ 
three-quarters,Frikw6rt^z 
threes,Friz 
threesome,Fris4m 
threshold,FreSh6ld 
threw,Fr( 
thrice,FrYs 
thrift,FrIft 
thrifty,FrIfti 
thrill,FrIl 
thrilled,FrIld 
thriller,FrIl^ 
thrillers,FrIl^z 
thrilling,FrIlIG 
thrills,FrIlz 
thrive,FrYv 
thrives,FrYvz 
thriving,FrYvIG 
throat,Fr6t 
throat's,Fr6ts 
throats,Fr6ts 
throb,FrOb 
throbbing,FrObIG 
throes,Fr6z 
through,Fr( 
throughout,Fr(5t 
throughs,Fr(z 
throw,Fr6 
throwaway,Fr64w3 
throwback,Fr6bAk 
throwing,Fr6IG 
thrown,Fr6n 
throws,Fr6z 
thrust,Fr0st 
thug,F0g 
thugs,F0gz 
thumb,F0m 
thumbing,F0mIG 
thumbnail,F0mn3l 
thumbs,F0mz 
thump,F0mp 
thunder,F0nd^ 
thunders,F0nd^z 
thunderstorm,F0nd^st6rm 
thunderstormed,F0nd^st6rmd 
thunderstorms,F0nd^st6rmz 
thuringiansis,F(rIndyiOnsIs 
thus,D0s 
thwart,tH6rt 
thwarted,tH6rtId 
thyme,tYm 
tic,tIk 
tick,tIk 
ticked,tIkt 
ticker,tIk^ 
ticket,tIkIt 
ticketed,tIkItId 
tickets,tIkIts 
ticking,tIkIG 
tickle,tIk4l 
tickled,tIk4ld 
ticks,tIks 
tidbit,tIdbIt 
tidbits,tIdbIts 
tide,tYd 
tidings,tYdIGz 
tie,tY 
tie-dyed,tYdYd 
tied,tYd 
tier,tir 
tiered,tird 
tiers,tirz 
ties,tYz 
tiff,tIf 
tiger,tYg^ 
tight,tYt 
tighten,tYt2 
tightened,tYt2d 
tightening,tYtInIG 
tighter,tYt^ 
tightly,tYtli 
tights,tYts 
til,tIl 
tile,tYl 
tiles,tYlz 
tiling,tYlIG 
till,tIl 
tillable,tIl4b4l 
tilled,tIld 
tiller,tIl^ 
tilling,tIlIG 
tilt,tIlt 
timber,tImb^ 
time,tYm 
time's,tYmz 
timed,tYmd 
timely,tYmli 
timer,tYm^ 
timers,tYm^z 
times,tYmz 
timid,tImId 
timing,tYmIG 
tin,tIn 
tinge,tIndy 
tingling,tIGg4lIG 
tiniest,tYniIst 
tinker,tIGk^ 
tinkerer,tIGk4r^ 
tinkering,tIGk4rIG 
tinny,tIni 
tinted,tIntId 
tints,tInts 
tiny,tYni 
tip,tIp 
tipped,tIpt 
tippers,tIp^z 
tipping,tIpIG 
tips,tIps 
tire,tYr 
tired,tYrd 
tireder,tYrd^ 
tires,tYrz 
tiring,tYrIG 
tissue,tIsy( 
tit,tIt 
tithe,tYD 
tithing,tYDIG 
title,tYt7 
titles,tYt7z 
tizzy,tIzi 
to,t4 
to've,t(v 
toast,t6st 
toasted,t6stId 
toaster,t6st^ 
toasts,t6sts 
toasty,t6sti 
tobacco,t4bAk6 
tobogganing,t4bOg4nIG 
toboggans,t4bOg4nz 
today,t4d3 
today's,t4d3z 
toddler,tOdl^ 
toddlers,tOdl^z 
toddling,tOd4lIG 
toe,t6 
toehold,t6h6ld 
toes,t6z 
toffee,tofi 
tofu,t6f( 
together,t4geD^ 
togethers,t4geD^z 
toggle,tOg4l 
toilet,t8lIt 
toilets,t8lIts 
token,t6kIn 
tokens,t6kInz 
told,t6ld 
tole,t6l 
tolerable,tOl4r4b4l 
tolerance,tOl4rIns 
tolerances,tOl4rInsIz 
tolerant,tOl4rInt 
tolerate,tOl4r3t 
tolerated,tOl4r3tId 
tolerates,tOl4r3ts 
tolerating,tOl4r3tIG 
toll,t6l 
tollbooth,t6lb(F 
tolls,t6lz 
tollway,t6lw3 
tomato,t4mOt6 
tomatoes,t4mOt6z 
tomcats,tOmkAts 
tomorrow,t4mOr6 
tomorrow's,t4mOr6z 
ton,t0n 
tone,t6n 
toned,t6nd 
tones,t6nz 
tongs,toGz 
tongue,t0G 
tonic,tOnIk 
tonight,t4nYt 
tonight's,t4nYts 
toning,t6nIG 
tonnage,t0nIdy 
tons,t0nz 
too,t( 
took,tuk 
tool,t(l 
tooling,t(lIG 
toolroom,t(lr(m 
tools,t(lz 
toot,t(t 
tooth,t(F 
toothbrush,t(Fbr0S 
toothpick,t(FpIk 
toothpicks,t(FpIks 
toots,tuts 
top,tOp 
top-heavy,tOphevi 
topic,tOpIk 
topic's,tOpIks 
topical,tOpIk4l 
topics,tOpIks 
topography,t4pOgr4fi 
topped,tOpt 
toppers,tOp^z 
topping,tOpIG 
toppings,tOpIGz 
toppling,tOp4lIG 
tops,tOps 
topsoil,tOps8l 
topsy,tOpsi 
topsy-turvy,tOpsit^vi 
tore,t6r 
torn,t6rn 
tornado,t^n3d6 
tornadoes,t^n3d6z 
tornados,t^n3d6z 
torpedo,t6rpid6 
torpedoed,t6rpid6d 
torque,t6rk 
torrential,t4r2S4l 
torrents,t6rInts 
tort,t6rt 
tortilla,t6rti4 
tortillas,t6rti4z 
tortoise,t6rtIs 
torture,t6rty^ 
tortured,t6rty^d 
torturistic,t6rty4rIstIk 
toss,tos 
tossed,tost 
tossing,tosIG 
tot,tOt 
total,t6t4l 
totaled,t6t4ld 
totaling,t6t4lIG 
totalitarian,t6tAlIt^iIn 
totality,t6tAlIti 
totally,t6t4li 
totals,t6t4lz 
tote,t6t 
totem,t6t4m 
toting,t6tIG 
touch,t0ty 
touchdown,t0tyd5n 
touchdowns,t0tyd5nz 
touched,t0tyt 
touches,t0tyIz 
touching,t0tyIG 
touchtone,t0tyt6n 
touchy,t0tyi 
touchy-feely,t0tyifili 
tough,t0f 
toughen,t0f4n 
tougher,t0f^ 
toughest,t0fIst 
tour,t(r 
toured,t(rd 
touring,t(rIG 
tourism,t(rIz4m 
tourist,t(rIst 
touristing,t(rIstIG 
tourists,t(rIsts 
touristy,t(rIsti 
tournament,t^n4mInt 
tournament's,t^n4mInts 
tournaments,t^n4mInts 
tours,t(rz 
touted,t5tId 
touting,t5tIG 
tow,t6 
toward,t4w6rd 
towards,t4w6rdz 
towed,t6d 
towel,t5l 
toweling,t5lIG 
towels,t5lz 
tower,t5^ 
towered,t5^d 
towering,t5^IG 
towers,t5^z 
towing,t6IG 
town,t5n 
town'd,t5nd 
town's,t5nz 
towners,t5n^z 
townhouse,t5nh5s 
townhouses,t5nh5sIz 
towns,t5nz 
township,t5nSIp 
tows,t6z 
toxic,tOksIk 
toxicity,tOksIsIti 
toxicologist,tOksIkOl4dyIst 
toxicology,tOksIkOl4dyi 
toxics,tOksIks 
toxin,tOksIn 
toxins,tOksInz 
toy,t8 
toying,t8IG 
toys,t8z 
trace,tr3s 
traceable,tr3s4b4l 
traced,tr3st 
tracers,tr3s^z 
tracing,tr3sIG 
track,trAk 
tracked,trAkt 
tracking,trAkIG 
tracks,trAks 
tract,trAkt 
tractable,trAkt4b4l 
traction,trAkSIn 
tractor,trAkt^ 
tractors,trAkt^z 
tracts,trAks 
trade,tr3d 
trade-in,tr3dIn 
trade-off,tr3dof 
trade-offs,tr3dOfs 
traded,tr3dId 
trades,tr3dz 
trading,tr3dIG 
tradition,tr4dISIn 
traditional,tr4dISIn4l 
traditionally,tr4dISIn4li 
traditions,tr4dISInz 
traffic,trAfIk 
traffic's,trAf 
trafficking,trAfIkIG 
tragedies,trAdyIdiz 
tragedy,trAdyIdi 
tragic,trAdyIk 
trail,tr3l 
trailed,tr3ld 
trailer,tr3l^ 
trailers,tr3l^z 
trailing,tr3lIG 
trails,tr3lz 
train,tr3n 
trainable,tr3n4b4l 
trained,tr3nd 
trainer,tr3n^ 
trainers,tr3n^z 
training,tr3nIG 
trainings,tr3nIGz 
trains,tr3nz 
trait,tr3t 
traitorous,tr3t4rIs 
traits,tr3ts 
tramane,tr4m3n 
trampling,trAmplIG 
trampoline,trAmp4lin 
transaction,trAnzAkSIn 
transactions,trAnzAkSInz 
transcontinental,trAnskOntIn2t4l 
transcribe,trAnskrYb 
transcribers,trAnskrYb^z 
transcribes,trAnskrYbz 
transcribing,trAnskrYbIG 
transcript,trAnskrIpt 
transcripts,trAnskrIpts 
transducers,trAnzd(s^z 
transfer,trAnsf^ 
transfered,trAnsf^d 
transferred,trAnsf^d 
transferring,trAnsf^rIG 
transfers,trAnsf^z 
transform,trAnsf6rm 
transformation,trAnsf^m3SIn 
transformed,trAnsf6rmd 
transformers,trAnsf6rm^z 
transforms,trAnsf6rmz 
transfusion,trAnsfy(ZIn 
transfusions,trAnsfy(ZInz 
transgressions,trAnzgreSInz 
transgressor,trAnzgres^ 
transient,trAnziInt 
transients,trAnziInts 
transistor,trAnzIst^ 
transistors,trAnzIst^z 
transit,trAnsIt 
transition,trAnzISIn 
transitional,trAnzISIn4l 
transitioning,trAnzISInIG 
translate,trAnsl3t 
translated,trAnsl3tId 
translates,trAnsl3ts 
translating,trAnsl3tIG 
translation,trAnsl3SIn 
translations,trAnsl3SInz 
translator,trAnsl3t^ 
translators,trAnsl3t^z 
transmission,trAnsmISIn 
transmission's,trAnzmISInz 
transmissions,trAnsmISInz 
transmit,trAnsmIt 
transmits,trAnsmIts 
transmitted,trAnsmItId 
transmitter,trAnsmIt^ 
transmitters,trAnsmIt^z 
transmitting,trAnsmItIG 
transparencies,trAnspArInsiz 
transparency,trAnspArInsi 
transpired,trAnspYrd 
transplant,trAnsplAnt 
transplanted,trAnsplAntId 
transplanting,trAnsplAntIG 
transplants,trAnsplAnts 
transport,trAnsp6rt 
transportation,trAnsp^t3SIn 
transportations,trAnsp^t3SInz 
transported,trAnsp6rtId 
transporting,trAnsp6rtIG 
transpose,trAnsp6z 
transverse,trAnzv^s 
transvestite,trAnzvestYt 
trap,trAp 
trapeze,tr4piz 
trapped,trApt 
trapping,trApIG 
traps,trAps 
trash,trAS 
trashed,trASt 
trashes,trASIz 
trashing,trASIG 
trashy,trASi 
trauma,trom4 
traumas,trom4z 
traumatic,tromAtIk 
traumatized,trom4tYzd 
traumatizing,trom4tYzIG 
travel,trAv4l 
traveled,trAv4ld 
traveler,trAv4l^ 
traveler's,trAv4l^z 
traveling,trAv4lIG 
travels,trAv4lz 
travesty,trAvIsti 
tray,tr3 
trays,tr3z 
treacherous,trety4rIs 
tread,tred 
treadmill,tredmIl 
treadmills,tredmIlz 
treason,trizIn 
treasure,treZ^ 
treasurer,treZ4r^ 
treasures,treZ^z 
treat,trit 
treated,tritId 
treaties,tritiz 
treating,tritIG 
treatment,tritmInt 
treatments,tritmInts 
treats,trits 
treaty,triti 
treble,treb4l 
tree,tri 
tree's,triz 
trees,triz 
trek,trek 
trembled,tr9b4ld 
trembling,tr9blIG 
tremendous,tr4m2dIs 
tremendously,tr4m2dIsli 
tremors,tr9^z 
trench,tr2ty 
trencher,tr2ty^ 
trenches,tr2tyIz 
trend,tr2d 
trend's,tr2dz 
trends,tr2dz 
trendsetters,tr2dset^s 
trendy,tr2di 
trespass,trespAs 
triad,trYAd 
trial,trYl 
trialed,trYld 
trials,trYlz 
triangle,trYAGg4l 
triangular,trYAGgy4l^ 
tribal,trYb4l 
tribe,trYb 
tribes,trYbz 
tribunal,trYby(n4l 
tribute,trIby(t 
tricep,trYsep 
trick,trIk 
trick-or-treaters,trIk6rtrit^z 
tricked,trIkt 
trickle,trIk4l 
trickled,trIk4ld 
trickles,trIk4lz 
trickling,trIk4lIG 
tricks,trIks 
tricky,trIki 
tricycles,trYsIk4lz 
tried,trYd 
tries,trYz 
trifle,trYf4l 
trifocals,trYf6k4lz 
trigger,trIg^ 
triggered,trIg^d 
triggering,trIg4rIG 
triggers,trIg^z 
triglyceride's,trYglIs4rYdz 
triglycerides,trYglIs4rYdz 
trihold,trYh6ld 
trilingual,trYlIGgw4l 
trillion,trIlyIn 
trillions,trIliInz 
trilogy,trIl4dyi 
trim,trIm 
trimmed,trImd 
trimmer,trIm^ 
trimming,trImIG 
trimmings,trImIGz 
trims,trImz 
trinket,trIGkIt 
trio,tri6 
trip,trIp 
triple,trIp4l 
tripled,trIp4ld 
triplets,trIplIts 
triplicate,trIplIkIt 
tripped,trIpt 
tripping,trIpIG 
trips,trIps 
trite,trYt 
trivia,trIvi4 
trivial,trIvi4l 
trivialities,trIviAlItiz 
trivialize,trIvy4lYz 
trodden,trOd2 
troll,tr6l 
trolley,trOli 
trolleys,troliz 
trolling,tr6lIG 
trombone,trOmb6n 
tromped,trOmpt 
tromping,trOmpIG 
troop,tr(p 
trooper,tr(p^ 
troops,tr(ps 
trophies,tr6fiz 
tropical,trOpIk4l 
tropicals,trOpIk4lz 
tropics,trOpIks 
trot,trOt 
trots,trOts 
trotted,trOtId 
troubadour,tr(b4d6r 
trouble,tr0b4l 
troubled,tr0b4ld 
troublemakers,tr0b4lm3k^z 
troubles,tr0b4lz 
troubleshoot,tr0b4lS(t 
troubleshooting,tr0b4lS(tIG 
troublesome,tr0b4ls4m 
trough,trof 
trousers,tr5z^z 
trout,tr5t 
troy,tr8 
truant,tr(Ant 
truck,tr0k 
truck's,tr0ks 
trucked,tr0kt 
trucker,tr0k^ 
truckers,tr0k^z 
trucking,tr0kIG 
trucks,tr0ks 
true,tr( 
truer,tr(^ 
truest,tr(Ist 
truly,tr(li 
trumpet,tr0mpIt 
trumpets,tr0mpIts 
trunk,tr0Gk 
trunks,tr0Gks 
truss,tr0s 
trusses,tr0sIz 
trust,tr0st 
trusted,tr0stId 
trustee,tr0sti 
trusting,tr0stIG 
trustworthy,tr0stw^Di 
truth,tr(F 
truthful,tr(Ff4l 
truthfully,tr(Ff4li 
try,trY 
trying,trYIG 
tsetse,tsitsi 
tub,t0b 
tuba,t(b4 
tubby,t0bi 
tube,t(b 
tuberculosis,t(b^ky4l6sIs 
tubes,t(bz 
tubs,t0bz 
tuck,t0k 
tucked,t0kt 
tug,t0g 
tugged,t0gd 
tugging,t0gIG 
tuition,t(ISIn 
tuition's,t(ISInz 
tuitions,t(ISInz 
tulip,t(lIp 
tulips,t(lIps 
tumble,t0mb4l 
tumbled,t0mb4ld 
tumbling,t0mb4lIG 
tummy,t0mi 
tumor,t(m^ 
tumors,t(m^z 
tumultuous,t4m0lty(4s 
tuna,t(n4 
tune,t(n 
tune-up,t(n0p 
tune-ups,t(n0ps 
tuned,t(nd 
tunes,t(nz 
tung,t0G 
tuning,t(nIG 
tunnel,t0n4l 
tunnels,t0n4lz 
tupperware,t0p^w3r 
turbine,t^bYn 
turbo,t^b6 
turbulence,t^by4lIns 
turbulent,t^by4lInt 
tureen,turin 
turf,t^f 
turkey,t^ki 
turkey's,t^kiz 
turkeys,t^kiz 
turmoil,t^m8l 
turn,t^n 
turnabout,t^n4b5t 
turnaround,t^n4r5nd 
turnarounds,t^n4r5ndz 
turned,t^nd 
turning,t^nIG 
turnip,t^nIp 
turnips,t^nIps 
turnout,t^n5t 
turnout's,t^n5ts 
turnouts,t^n5ts 
turnover,t^n6v^ 
turnovers,t^n6v^z 
turns,t^nz 
turnstile,t^nstYl 
turntable,t^nt3b4l 
turntables,t^nt3b4lz 
turpentine,t^p4ntYn 
turquoise,t^k8z 
turret,t^rIt 
turrets,t^rIts 
turtle,t^t4l 
turtleneck,t^t4lnek 
turtleneck's,t^t4lneks 
turtlenecks,t^t4lneks 
turtles,t^t4lz 
turvy,t^vi 
tushes,t0SIz 
tussle,t0s4l 
tutor,t(t^ 
tutored,t(t^d 
tutoring,t(t4rIG 
twain,tw3n 
twang,twAG 
twangy,twAGi 
tweak,twik 
tweaked,twikt 
twelfth,tw7fF 
twelve,tw7v 
twelve's,tw7vz 
twenties,tw2tiz 
twentieth,tw2tiIF 
twenty,tw2ti 
twenty's,tw2tiz 
twice,twYs 
twiddle,twId7 
twigs,twIgz 
twin,twIn 
twine,twYn 
twins,twInz 
twirl,tw^l 
twirled,tw^ld 
twirler,tw^l^ 
twirling,tw^lIG 
twirls,tw^lz 
twist,twIst 
twisted,twIstId 
twisters,twIst^z 
twists,twIsts 
twisty,twIsti 
two,t( 
two's,t(z 
two-way,t(w3 
twos,t(z 
twosome,t(s4m 
tycoon,tYk(n 
tying,tYIG 
tyke,tYk 
type,tYp 
typecast,tYpkAst 
typecasting,tYpkAstIG 
typed,tYpt 
typeface,tYpf3s 
typer,tYp^ 
types,tYps 
typeset,tYpset 
typesetting,tYpsetIG 
typewriter,tYprYt^ 
typewriters,tYprYt^z 
typewriting,tYprYtIG 
typical,tIpIk4l 
typically,tIpIk4li 
typing,tYpIG 
typist,tYpIst 
typographical,tYp4grAfIk4l 
typos,tYp6z 
tyranny,tIrIni 
tyrant,tYrInt 
u,y( 
ugh,0g 
uglier,0gli^ 
ugliest,0gliIst 
ugly,0gli 
uh-hums,0h0mz 
ulterior,4ltIri^ 
ultimate,0lt4mIt 
ultimately,0ltImItli 
ultra,0ltr4 
ultraconservative,0ltr4k4ns^v4tIv 
umbrella,4mbr74 
umpteen,0mptin 
un-American,0n4m^Ik4n 
unable,0n3b4l 
unacademically,4nAk4d9Ikli 
unacceptable,0nAksept4b4l 
unaccepted,0nekseptId 
unaccustomed,0n4k0st4md 
unaffordable,0n4f6rd4b4l 
unair-conditioned,4n3rk4ndISInd 
unanimity,y(nAnImIti 
unanimous,y(nAnIm4s 
unannounced,0n4n5nst 
unanswered,4nAns^d 
unarmed,0nOrmd 
unattended,0n4t2dId 
unauthorized,4noF4rYzd 
unavailable,0n4v3l4b4l 
unbalanced,4nbAl4nst 
unbearable,4nb3r4b4l 
unbelievable,0nb4liv4b4l 
unbelievably,0nb4liv4bli 
unbelieving,0nb4livIG 
unbiased,4nbYIst 
unbolted,0nb6ltId 
unborn,0nb6rn 
unburned,4nb^nd 
uncalled,4nkold 
uncanny,4nkAni 
uncertain,4ns^t2 
uncertainty,4ns^t2ti 
unchanging,4nty3ndyIG 
uncharacteristic,0nkAr4kt4rIstIk 
uncharismatic,0nkArIzmAtIk 
uncirculated,4ns^ky4l3tId 
unclassified,4nklAsIfYd 
uncle,0Gk4l 
uncle's,0Gk4lz 
uncles,0Gk4lz 
uncollectable,0nk4lekt4b4l 
uncomfortable,4nk0mf^t4b4l 
uncommon,0nkOm4n 
uncompetitive,0nk4mpetItIv 
uncomplicated,4nkOmplIk3tId 
unconcealed,0nk4nsild 
unconditional,0nk4ndISIn4l 
unconditionally,0nk4ndISIn4li 
unconscionable,4nkOnSIn4b4l 
unconscious,4nkOnSIs 
unconsciously,4nkOnSIsli 
unconstitutional,0nkOnstIt(SIn4l 
uncontrollable,0nk4ntr6l4b4l 
uncontrolled,0nk4ntr6ld 
unconventional,0nk4nv2SIn4l 
uncooked,0nkukt 
uncooperative,0nk6Op4r4tIv 
uncoordinated,0nk66rdIn3tId 
uncoupling,4nk0plIG 
uncourteous,4nk^ti4s 
uncover,4nk0v^ 
uncut,4nk0t 
undecided,0ndIsYdId 
undefeated,0ndIfitId 
under,0nd^ 
underachievers,0nd^4tyiv^z 
undercarriage,0nd^kArIdy 
underclass,0nd^klAs 
underclassmen,0nd^klAsm4n 
undercoat,0nd^k6t 
undercover,0nd^k0v^ 
underdeveloped,0nd^dIv74pt 
underdog,0nd^dog 
underdrive,0nd^drYv 
underestimate,0nd^estIm3t 
underestimated,0nd^estIm3tId 
undergoing,0nd^g6IG 
undergone,0nd^gon 
undergrad,0nd^grAd 
undergrads,0nd^grAdz 
undergraduate,0nd^grAdy(It 
undergraduate's,0nd^grAdy(Its 
undergraduates,0nd^grAdy(Its 
underground,0nd^gr5nd 
underhanded,0nd^hAndId 
underline,0nd^lYn 
underlying,0nd^lYIG 
undermine,0nd^mYn 
undermining,0nd^mYnIG 
underneath,0nd^niF 
underpaid,0nd^p3d 
underpass,0nd^pAs 
underpinned,0nd^pInd 
underpinnings,0nd^pInIGz 
underrated,0nd^r3tId 
underspin,0nd^spIn 
understaffed,0nd^stAft 
understand,0nd^stAnd 
understandable,0nd^stAnd4b4l 
understandably,0nd^stAnd4bli 
understanding,0nd^stAndIG 
understands,0nd^stAndz 
understated,0nd^st3tId 
understates,0nd^st3ts 
understood,0nd^stud 
undertake,0nd^t3k 
undertaken,0nd^t3kIn 
undertaking,0nd^t3kIG 
undertook,0nd^tuk 
undertow,0nd^t6 
